"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"244300307","CC du Pays de Montfaucon","0_0","0_1",,
"244301016","CC des Sucs",,,,
"244301032","CC Brioude Sud Auvergne",,,,
"244301099","CC Auzon Communauté",,"1_1",,"0_0"
"244301107","CC du Haut-Lignon",,,"1_1",
"244301123","CC des Pays de Cayres et de Pradelles","1_0",,,"0_0"
"244301131","CC Loire et Semène","1_1",,,
"244400404","Nantes Métropole",,,"0_0","1_1"
"244400438","CC de Grand Lieu",,,,
"244400453","CC de la Région de Blain",,"1_1",,
"244400503","CC d'Erdre et Gesvres",,,"0_0","0_1"
"244400537","CC de Nozay",,,"0_0",
"244400552","CC du Pays d'Ancenis",,,,
"244400586","CC du Sud-Estuaire",,"1_1",,
"244400610","CA de la Presqu'île de Guérande Atlantique (Cap Atlantique)",,,,"0_0"
"244400644","CA de la Région Nazairienne et de l'Estuaire (Carene)",,,,
"244500203","CA Montargoise et Rives du Loing (A.M.E.)",,,,"0_1"
"244500211","CC Giennoises",,,"1_1","0_0"
"244500419","CC des Quatre Vallées",,,,"0_0"
"244500427","CC des Loges","1_1",,"0_0",
"244500468","Orléans Métropole",,,,"1_1"
"244500484","CC de la Forêt",,,"1_0",
"244500542","CC de la Plaine du Nord Loiret",,,,
"244600433","CC de la Vallée du Lot et du Vignoble",,"0_0","1_1","0_0"
"244600482","CC Quercy - Bouriane","0_0","1_0","1_1",
"244600532","CC du Pays de Lalbenque-Limogne",,"0_0","1_1","0_0"
"244600573","CC du Causse de Labastide-Murat",,,"0_1","0_0"
"244700449","CC du Pays de Duras",,,"0_1","0_0"
"244700464","CC du Pays de Lauzun",,,"1_1",
"244701355","CC des Coteaux et Landes de Gascogne",,,"0_1",
"244701405","CC Lot et Tolzac","0_0",,"1_1","0_0"
"244800405","CC Coeur de Lozère","0_1",,"0_0","1_1"
"244800470","CC du Gévaudan","0_0","1_0","1_1","0_1"
"244900015","CU Angers Loire Métropole","0_1",,,"1_1"
"244900809","CC Anjou Bleu Communauté",,"1_1",,
"244900882","CC Baugeois Vallée",,"1_1",,
"245100615","CC de la Grande Vallée de la Marne",,,,"0_0"
"245100888","CC de la Brie Champenoise",,,,"0_0"
"245100979","CC du Sud Marnais","0_0","1_1",,
"245200597","CC des Trois Forêts",,,,"0_0"
"245300223","CC du Pays de Meslay-Grez",,,"0_0","0_1"
"245300306","CC du Pays de Loiron",,,,
"245300330","CA de Laval",,,,"1_1"
"245300355","CC de l'Ernée",,"1_1",,
"245300389","CC du Bocage Mayennais",,,"1_1",
"245300447","CC du Pays de Château-Gontier",,"1_1",,
"245400171","CC Moselle et Madon","1_1",,"1_0","0_1"
"245400189","CC des Pays du Sel et du Vermois",,,,"0_1"
"245400262","CA de Longwy",,,,"0_1"
"245400510","CC du Pays de Colombey et du Sud Toulois",,"1_1","0_0",
"245400601","CC du Bassin de Pompey",,,,"0_1"
"245400676","Métropole du Grand Nancy","0_1","0_0","0_0","1_1"
"245400759","CC du Pays du Sanon","1_1",,,"0_1"
"245500327","CC du Sammiellois","1_0","0_1",,
"245501176","CC du Territoire de Fresnes-en-Woëvre",,"0_1",,
"245501184","CC du Pays de Revigny-sur-Ornain",,,,
"245501242","CC du Pays d'Étain",,,"1_0",
"245501259","CC du Pays de Montmédy",,,"1_0",
"245600440","CC de Blavet Bellevue Océan",,,,
"245600465","CC de Belle-Ile-en-Mer",,,"1_1","0_0"
"245614383","CC Questembert Communauté",,,,
"245614417","CC Roi Morvan Communauté",,,,
"245614433","CC Pontivy Communauté",,"1_1",,
"245700133","CC du District Urbain de Faulquemont (Duf)",,,,
"245700372","CA de Forbach Porte de France",,,,
"245700398","CC de Freyming-Merlebach",,"1_1",,
"245700695","CC de Cattenom et Environs",,,,
"245700950","CC du Pays de Phalsbourg",,"1_1","0_0",
"245701164","CC du Warndt",,"0_1",,
"245701206","CC du Saulnois",,,,
"245701222","CA du Val de Fensch",,,"0_0",
"245701271","CC du Pays Orne Moselle",,"1_1",,"0_1"
"245701354","CC de l'Arc Mosellan",,,"0_0","0_1"
"245701362","CA Portes de France-Thionville","1_1",,,
"245701404","CC du Pays Haut Val d'Alzette","1_0",,,
"245801063","CC Loire et Allier",,,,"0_0"
"245804406","CA de Nevers",,,,
"245804497","CC du Nivernais Bourbonnais",,,,"0_0"
"245900410","Métropole Européenne de Lille",,,,"1_1"
"245900428","CU de Dunkerque",,,,"0_1"
"245900758","CC Flandre Lys",,,"1_0",
"245901038","CC du Pays Solesmois",,"1_1",,"0_1"
"245901061","CC de la Haute-Deûle",,,,"0_1"
"245901152","CC Coeur d'Ostrevent [C.C.C.O.]",,,,"0_1"
"245901160","CA Valenciennes Métropole",,,,"1_1"
"246000129","CC du Liancourtois",,,,"0_1"
"246000376","CC du Clermontois",,,,"0_1"
"246000566","CC du Plateau Picard",,"1_1","0_0",
"246000582","CC des Sablons",,"1_1","0_0","0_1"
"246000707","CC du Vexin-Thelle",,,"0_0",
"246000749","CC des Lisières de l'Oise","0_1",,"0_0",
"246000756","CC du Pays Noyonnais",,,,"0_1"
"246000764","CC de l'Aire Cantilienne","1_1",,,"0_1"
"246000772","CC des Deux Vallées",,,"0_0","0_1"
"246000848","CC de la Picardie Verte",,,"0_0",
"246000855","CC du Pays des Sources",,"1_1",,"0_1"
"246000871","CC du Pays de Valois",,,"0_0",
"246000897","CC de la Plaine d'Estrées",,,,
"246000913","CC du Pays de Bray",,"1_1","0_0",
"246000921","CC des Pays d'Oise et d'Halatte",,,"1_0",
"246100390","CC du Val d'Orne",,,,
"246100663","CU d'Alençon",,,,"1_1"
"246200299","CA d'Hénin-Carvin",,,,
"246200364","CA de Lens - Liévin",,,,
"246200380","CC de la Terre des Deux Caps",,,,"0_1"
"246200729","CA du Boulonnais",,,,
"246200844","CC de la Région d'Audruicq",,,"1_0","0_1"
"246201016","CC du Pays de Lumbres",,"1_1",,"0_1"
"246201149","CA du Calaisis",,,,
"246300701","Clermont Auvergne Métropole",,,"0_0","1_1"
"246300966","CC du Massif du Sancy",,,,"0_0"
"246301097","CC Entre Dore et Allier",,,,
"246400337","CC de la Vallée d'Ossau",,,,
"246401756","CC Pays de Nay",,,,"0_1"
"246500482","CC de la Haute-Bigorre",,"0_0","1_1","0_0"
"246500573","CC Aure-Louron","1_0",,,"0_0"
"246600282","CC Sud-Roussillon",,,"1_1",
"246600373","CC du Vallespir",,,"1_1",
"246600399","CC Pyrénées Cerdagne",,"1_0",,"1_0"
"246600415","CC Roussillon-Conflent",,,,"0_1"
"246600423","CC Agly Fenouillèdes",,"0_0","1_1","0_0"
"246600449","CC des Aspres",,,,
"246600464","CC Pyrénées Catalanes","1_1",,,
"246600548","CC du Haut Vallespir","1_0","1_0","0_1","0_0"
"246700306","CC de la Vallée de la Bruche",,"1_1",,
"246700488","Eurométropole de Strasbourg","0_1",,"0_0","1_1"
"246700744","CC des Portes de Rosheim",,,"1_0",
"246700777","CC de la Vallée de Villé","1_1","0_1",,
"246700843","CC de la Basse-Zorn",,,"1_0",
"246700926","CC du Pays de Wissembourg",,"1_1","1_0",
"246700959","CC du Pays de la Zorn","1_1",,,
"246700967","CC de Sélestat",,,"1_0",
"246701064","CC de la Région de Molsheim-Mutzig",,,,
"246701080","CC du Pays de Sainte-Odile","0_1",,,"0_1"
"246701098","CC du Pays de Niederbronn-les-Bains",,,,
"246800205","CC de la Vallée de Saint-Amarin",,"1_1",,
"246800395","CC du Val d'Argent",,"1_1",,"0_0"
"246800445","CC du Centre du Haut-Rhin",,"1_1","0_0",
"246800494","CC du Pays de Rouffach, Vignobles et Châteaux",,,,
"246800551","CC de la Vallée de Kaysersberg",,,,
"246800569","CC de la Région de Guebwiller",,,,
"246800577","CC du Pays de Ribeauvillé",,,,
"246800585","CC de la Vallée de Munster",,,,"0_0"
"246800676","CC de la Vallée de la Doller et du Soultzbach","0_1",,,
"246800726","CA Colmar Agglomération",,,,
"246900575","CC de l'Est Lyonnais (Ccel)",,,"1_0","0_1"
"246900625","CC du Pays de l'Arbresle (Ccpa)","1_1",,"0_0","0_1"
"246900724","CC des Vallons du Lyonnais (Ccvl)",,,"0_0","0_1"
"246900740","CC du Pays Mornantais (Copamo)","1_1",,,"0_1"
"246900757","CC de la Vallée du Garon (Ccvg)","1_1",,,"0_1"
"246900765","CC du Pays de l'Ozon","1_1","0_0",,"0_1"
"247000011","CA de Vesoul",,,,
"247000367","CC des Combes",,"1_1",,
"247000623","CC des Quatre Rivières",,,,
"247000664","CC du Pays de Lure","1_1",,,
"247000698","CC des Monts de Gy",,,,
"247000706","CC du Pays Riolais","1_1",,"0_0","0_1"
"247000714","CC du Pays de Villersexel",,"1_1",,
"247000722","CC du Pays d'Héricourt",,,,
"247000755","CC du Pays de Luxeuil",,,,
"247000821","CC Rahin et Cherimont","1_1",,,
"247000854","CC de la Haute Vallée de l'Ognon",,"0_1","1_1",
"247100290","CU Le Creusot Montceau-les-Mines",,,,
"247100589","CA Le Grand Chalon",,,,
"247100639","CC de Marcigny",,"1_0","1_1","0_0"
"247100647","CC Bresse Nord Intercom",,"1_1","0_1","0_0"
"247103765","CC Entre Saône et Grosne",,,,"0_0"
"247103864","CC du Canton de Semur-en-Brionnais",,"1_0","1_1","0_0"
"247104094","CC Sud Côte Chalonnaise",,,,
"247200090","CC de Sablé-sur-Sarthe",,,,"0_1"
"247200132","CU Le Mans Métropole",,,,
"247200348","CC du Pays Fléchois",,"0_1",,
"247200421","CC du Sud Est du Pays Manceau",,"0_0",,"0_1"
"247200447","CC Orée de Bercé - Belinois",,,,"0_1"
"247200629","CC du Val de Sarthe",,,,"0_1"
"247200686","CC du Pays de l'huisne Sarthoise",,,,
"247300015","CC des Vallées d'Aigueblanche",,"1_1","1_0",
"247300254","CC de Haute-Tarentaise",,,"1_0","0_0"
"247300262","CC de Yenne","1_1",,"1_0",
"247300361","CC du Canton de la Chambre",,"1_1",,"0_0"
"247300452","CC Maurienne Galibier",,,,
"247300528","CC Val Guiers","1_1",,,
"247300668","CC du Lac d'Aiguebelette (Ccla)","1_1","1_0",,"0_1"
"247300676","CC Porte de Maurienne",,"0_1",,"0_0"
"247300817","CC Les Versants d'Aime","1_1",,,
"247400047","CC de la Vallée Verte","1_1",,"1_0","0_1"
"247400112","CC du Pays de Cruseilles",,,"0_0","0_1"
"247400567","CC Fier et Usses","1_1",,,
"247400583","CC Arve et Salève",,,"1_0",
"247400617","CC des Vallées de Thônes","0_1",,"1_0",
"247400666","CC des Quatre Rivières",,,"0_0","0_1"
"247400682","CC du Haut-Chablais",,,,
"247400690","CC du Genevois","1_1",,"0_0",
"247400724","CC du Pays Rochois",,"1_1",,"0_1"
"247400740","CC Rumilly Terre de Savoie","1_1","0_1","0_0",
"247400773","CC des Sources du Lac d'Annecy",,,,
"247600497","CC du Canton de Criquetot-l'Esneval",,,"1_0","0_1"
"247600505","CC Campagne-De-Caux",,,,"0_1"
"247600539","CC Caux Estuaire",,,"1_0","0_1"
"247600588","CC des Villes Soeurs",,,"1_1",
"247600596","CA Havraise (Co.D.A.H.)",,,,"1_1"
"247600604","CC de Londinières","1_0","1_1",,"0_0"
"247600620","CC de la Région d'Yvetot",,"1_1",,
"247600646","CC Caux - Austreberthe",,,"1_0",
"247600729","CC Falaises du Talou",,,,
"247600786","CA de la Région Dieppoise",,,"1_1",
"247700032","CC Moret Seine et Loing",,"1_0","0_0",
"247700057","CA Melun Val de Seine",,,,
"247700065","CC du Pays de l'Ourcq",,,"0_0",
"247700107","CC Pays de Montereau",,,,
"247700339","CA Val d'Europe Agglomération",,,,"0_1"
"247700438","CC Pays Créçois",,,,"0_1"
"247700594","CA Marne et Gondoire",,,"0_0",
"247700644","CC l'Orée de la Brie",,"1_0",,"0_1"
"247700701","CC Brie Nangissienne",,,,
"247800550","CC du Pays Houdanais (C.C.P.H.)",,,,"0_1"
"247800584","CA Versailles Grand Parc (C.A.V.G.P.)","1_1",,,"0_1"
"247800618","CC Coeur d'Yvelines","1_1",,"0_0","0_1"
"247900798","CC du Thouarsais",,"1_1",,"0_0"
"248000499","CC du Val de Somme",,,"1_0","0_1"
"248000531","CA Amiens Métropole",,"0_0",,"1_1"
"248000747","CC du Pays du Coquelicot",,,,
"248100158","CC du Sor et de l'Agout",,"1_0",,
"248100430","CA de Castres Mazamet",,,,
"248100497","CC Val 81",,,"1_1","0_0"
"248100737","CA de l'Albigeois (C2a)",,,,"1_1"
"248100745","CC Thoré Montagne Noire","0_0",,"1_1","0_0"
"248200016","CC des Deux Rives",,,"1_1",
"248200057","CC du Quercy Caussadais",,,"1_1",
"248200065","CC de la Lomagne Tarn-et-Garonnaise",,,"1_1",
"248200099","CA Grand Montauban",,,,"0_1"
"248200107","CC du Quercy Rouergue et des Gorges de l'Aveyron",,,,
"248300394","CA Sud Sainte-Baume",,,"1_1",
"248300410","CC de la Vallée du Gapeau",,"1_0",,"0_1"
"248300493","CA Dracénoise",,,,
"248300543","Métropole Toulon-Provence-Méditerranée",,,,
"248300550","CC Coeur du Var",,,,
"248400053","CA Ventoux-Comtat-Venaissin (Cove)",,,,
"248400160","CC Aygues-Ouvèze en Provence (Ccaop)","1_1",,,
"248400236","CC du Pays Réuni d'Orange",,,,"0_1"
"248400251","CA du Grand Avignon (Coga)",,,,
"248400285","CC Territoriale Sud-Luberon","1_1",,,
"248400293","CC des Sorgues du Comtat",,,,"0_1"
"248400319","CC du Pays des Sorgues et des Monts de Vaucluse","1_1","1_0",,
"248400335","CC Vaison Ventoux",,"1_0","1_1","0_0"
"248500191","CC de l'Ile de Noirmoutier",,,"1_1",
"248500258","CC Océan Marais de Monts",,,"1_1","0_0"
"248500340","CC Pays de Chantonnay",,,,"0_0"
"248500415","CC du Pays de la Châtaigneraie",,,,
"248500464","CC du Pays de Pouzauges","1_0",,,"0_0"
"248500530","CC du Pays des Achards",,,,"0_0"
"248500563","CC Vendée, Sèvre, Autise",,,,"0_0"
"248500589","CA La Roche-sur-Yon Agglomération",,,,"1_1"
"248500621","CC du Pays des Herbiers",,,,
"248500662","CC du Pays de Mortagne",,"1_1",,
"248600413","CA Grand Châtellerault",,,"1_1",
"248600447","CC du Pays Loudunais",,,,"0_0"
"248700189","CC du Pays de Saint-Yrieix",,,,
"248719262","CC Gartempe - Saint-Pardoux","1_0",,"0_1",
"248719288","CC du Val de Vienne",,,,
"248719312","CA Limoges Métropole",,,,"1_1"
"248719338","CC Briance Combade",,"0_0",,"0_0"
"248719353","CC des Portes de Vassivière",,,,
"248719361","CC de Noblat",,,"1_1","0_0"
"248900334","CA du Grand Sénonais",,,,
"248900383","CC de l'Agglomération Migennoise",,"1_1",,
"248900524","CC de l'Aillantais",,,,"0_0"
"248900664","CC de la Vanne et du Pays d'Othe","0_0",,,"0_0"
"248900748","CC du Gâtinais en Bourgogne",,,,
"248900896","CC Yonne Nord",,,,"0_1"
"248900938","CC du Jovinien",,,,
"249000241","CC du Sud Territoire",,"1_1",,"0_0"
"249100074","CC du Pays de Limours (Ccpl)","1_1",,"0_0","0_1"
"249100157","CC des Deux Vallées",,,,
"249100546","CC du Val d'Essonne (Ccve)",,,,"0_1"
"249100553","CC Entre Juine et Renarde (Ccejr)",,,"0_0","0_1"
"249100595","CC Le Dourdannais en Hurepoix (Ccdh)",,"1_0",,"0_1"
"249500109","CA de Cergy-Pontoise",,,,"1_1"
"249500430","CC Sausseron Impressionnistes",,"1_0","0_0",
"249500455","CC de la Vallée de l'Oise et des Trois Forêts","1_1",,,
"249500489","CC du Haut Val d'Oise","0_1",,,
"249500513","CC du Vexin-Val de Seine",,"1_0","1_0",
"249710047","CC de Marie-Galante",,,,"0_1"
"249710062","CA du Nord Basse-Terre",,,,"0_1"
"249710070","CA Grand Sud Caraïbe",,,,"0_1"
"249720053","CA de l'Espace Sud de la Martinique",,,"1_0","0_1"
"249720061","CA du Centre de la Martinique",,,,"0_1"
"249730037","CC de l'Ouest Guyanais",,"0_0",,"0_1"
"249730045","CA du Centre Littoral","1_1",,,"0_1"
"249730052","CC de l'Est Guyanais","1_0","0_1","1_0",
"249740077","CA Civis (Communauté Intercommunale des Villes Solidaires)",,,,"0_1"
"249740085","CA du Sud",,,,
"249740093","CA Intercommunale de la Réunion Est (Cirest)",,,,"0_1"
"249740101","CA Territoire de la Côte Ouest (Tco)",,,,"0_1"
"249740119","CA Intercommunale du Nord de la Réunion (Cinor)",,,"0_0","1_1"
