"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200041515","CC du Bassin de Pont-à-Mousson",,"0_1",,
"200041523","CC de la Haute-Saintonge",,,"1_1","0_0"
"200041556","CC Portes de la Creuse en Marche",,,"1_1","0_0"
"200041572","CC Dronne et Belle",,,"1_1","0_0"
"200041614","CC Aunis Sud",,,,
"200041622","CC Ardennes Thiérache",,,,
"200041630","CA Ardenne Métropole",,,,"0_1"
"200041689","CC Vals de Saintonge",,,,"0_0"
"200041721","CC de la Haute Comté","0_0","0_1","1_1",
"200041762","CA Rochefort Océan",,,,
"200041788","CA du Pays Nord Martinique",,,,"0_1"
"200041853","CC du Pays de Montbozon et du Chanois","0_1",,,"0_1"
"200041861","CC du Triangle Vert",,"1_1",,
"200041879","CC Terres de Saône",,"1_1",,"0_0"
"200041887","CC du Val Marnaysien",,,,
"200041960","CC Pévèle-Carembault","1_1",,,
"200041994","CC Haut Val de Sèvre",,,,"0_0"
"200042000","CC Bruyères-Vallons des Vosges",,"1_1",,
"200042174","CA Lorient Agglomération",,,,
"200042182","CC du Mont des Avaloirs",,"1_1",,"0_0"
"200042190","CA de la Porte du Hainaut",,,,"0_1"
"200042372","CC des Coteaux Arrats Gimone",,"0_0",,"0_0"
"200042414","CC Bresse Revermont 71",,"1_1",,"0_0"
"200042463","CC de la Montagne Noire",,"0_0","1_1","0_0"
"200042497","CC Dombes Saône Vallée","1_1",,"0_0","0_1"
"200042604","CC de Granville, Terre et Mer",,,"1_1",
"200042620","CC de la Région de Suippes","0_0",,"1_0","0_0"
"200042646","CC Grand Orb CC en Languedoc",,,"1_1","0_0"
"200042653","CC Sud-Hérault",,,"0_1",
"200042703","CC de l'Argonne Champenoise","1_0","1_1","1_1","0_0"
"200042729","CC de la Baie du Cotentin",,,"1_1","0_0"
"200042901","CC Drôme Sud Provence",,,,
"200042935","CA Haut - Bugey Agglomération",,"1_1",,"0_1"
"200042943","CC du Cap Corse",,,"0_1",
"200042992","CC Perthois-Bocage et Der",,"1_1",,"0_0"
"200043016","CC Val de Charente",,,"1_1","0_0"
"200043065","CC du Val d'Amboise",,,,
"200043081","CC Chinon, Vienne et Loire",,,,
"200043123","CC Auray Quiberon Terre Atlantique",,,"1_1",
"200043156","CC du Pays Rethélois",,"1_1","0_0",
"200043172","CA du Bassin de Brive",,,,
"200043263","CC Coeur de l'Avesnois",,"1_1",,
"200043321","CC du Pays de Mormal",,,,"0_1"
"200043354","CC de Villedieu Intercom",,"1_1","1_1","0_0"
"200043396","CA Maubeuge Val de Sambre",,,,
"200043404","CC du Sud Avesnois",,,,"0_1"
"200043438","CC de la Moivre à la Coole","0_1",,,"0_1"
"200043495","CA du Pays de Laon",,,,
"200043602","CC des Albères, de la Côte Vermeille et de l'Illibéris",,,"1_1","0_0"
"200043628","CC des Vallées du Clain",,,,
"200043693","CC Terre Lorraine du Longuyonnais",,"1_1",,"0_1"
"200043776","CC Pyrénées Audoises",,"1_0",,"0_0"
"200043974","CC du Sud Gironde",,,,
"200043982","CC du Bazadais",,,,
"200043990","CC Vallons de Haute-Bretagne Communauté",,,"0_0","0_1"
"200044014","CC Creuse Grand Sud",,,,"0_1"
"200044030","CC des Sept Vallées",,,,
"200044048","CC Osartis Marquion",,,,"0_1"
