CS1,DEP_ACTU,DEP_ANTE,nb_ind,pct_ind_RES,pct_ind_DCRAN,cas_MIG
5,973,973,25874.7909320789,0.964177575850345,0.968117390006529,ISO
5,973,974,7.58523662083897,0.000282650208712013,5.77988650569292e-05,MIG
5,974,01,20.0050400035886,0.000152978092359902,0.000245304355007767,MIG
5,974,02,2.49881935712743,1.91084155961087e-05,3.36642651999637e-05,MIG
5,974,03,12.5042412314374,9.56196523301217e-05,0.000266087286507166,MIG
5,974,05,5.00419145883547,3.82669398831014e-05,0.000237742536835178,MIG
5,974,06,5.06105975644725,3.87018104798532e-05,3.17723834447441e-05,MIG
5,974,08,2.53749361765,1.94041567991811e-05,6.84705337917228e-05,MIG
5,974,09,7.50233695630119,5.73702024894861e-05,0.000352778552318775,MIG
5,974,10,17.5048323821043,0.000133859060737383,0.000430677483660681,MIG
5,974,11,25.0118763759352,0.000191265257837319,0.000495322729217532,MIG
5,974,13,63.2451737961141,0.00048363442595288,0.000235141846974724,MIG
5,974,14,10.0177183918043,7.66052679275833e-05,0.000104697053630846,MIG
5,974,17,37.8163303484826,0.000289180630267421,0.0004369226348446,MIG
5,974,21,10.0125111327835,7.65654481346067e-05,0.000139289405414505,MIG
5,974,22,15.051066019392,0.000115095164379401,0.000207650191634409,MIG
5,974,25,25.4246586033651,0.000194421794275185,0.000387877150549586,MIG
5,974,26,4.99423360213636,3.81907923761956e-05,8.02367301335158e-05,MIG
5,974,27,2.58277635560849,1.97504328810324e-05,3.30541484645087e-05,MIG
5,974,28,15.0126067778132,0.000114801067421371,0.000250544857030766,MIG
5,974,29,21.480339806789,0.000164259676876206,0.000181634415305988,MIG
5,974,2A,5.00515808566357,3.82743316567824e-05,0.000202599017175572,MIG
5,974,2B,5.00002323697774,3.82350655840141e-05,0.000192668484002925,MIG
5,974,30,20.0024748176929,0.000152958476440873,0.000203117708309605,MIG
5,974,31,77.8589652353442,0.000595385761422234,0.000458587989103704,MIG
5,974,32,5.00499179269518,3.82730600181817e-05,0.000212867033595932,MIG
5,974,33,44.3960671673503,0.000339495730192242,0.000211447645640389,MIG
5,974,34,73.9532130950112,0.000565518562378815,0.000500739158779299,MIG
5,974,35,22.5314396431405,0.000172297413757313,0.000170241308280302,MIG
5,974,36,7.51841290921962,5.74931349410027e-05,0.000242102836805817,MIG
5,974,37,15.0701642852811,0.000115241208390439,0.000186123976960477,MIG
5,974,38,25.1601517373571,0.000192399116201522,0.000162891493867319,MIG
5,974,39,2.49251446534958,1.906020223005e-05,7.76224644400579e-05,MIG
5,974,40,12.5569680333463,9.60228530020932e-05,0.000224368111677447,MIG
5,974,41,5.09028814879891,3.89253193408154e-05,0.000116192456894545,MIG
5,974,42,2.50041645297556,1.91206285522497e-05,2.62074094513604e-05,MIG
5,974,43,2.50751179319042,1.91748864597829e-05,8.60155736281671e-05,MIG
5,974,44,22.6865898234536,0.000173483843707432,0.000131311816741325,MIG
5,974,45,7.50414398296016,5.73840207818305e-05,8.63709335735196e-05,MIG
5,974,47,5.00303678743721,3.82581101368086e-05,0.000116359067495347,MIG
5,974,49,10.0041711556417,7.65016725163998e-05,9.7252506859729e-05,MIG
5,974,50,9.08225278802602,6.94517834302448e-05,0.000139539855541322,MIG
5,974,51,20.0928708024728,0.000153649732509651,0.000256508856136147,MIG
5,974,52,5.00152354018234,3.82465383689803e-05,0.000203460442414464,MIG
5,974,53,10.0102485350752,7.65481461006628e-05,0.000271549588810773,MIG
5,974,54,11.5022836673412,8.7957705303097e-05,0.000110269683282779,MIG
5,974,55,2.50193097031887,1.91322100324159e-05,9.07650717232115e-05,MIG
5,974,56,34.1539018460613,0.000261174121627376,0.000363018641449067,MIG
5,974,57,5.00083290595112,3.82412571044993e-05,3.30114881519444e-05,MIG
5,974,58,5.01460907832497,3.83466031857566e-05,0.000181465589837383,MIG
5,974,59,25.054697662794,0.000191592711257801,7.33478128310057e-05,MIG
5,974,60,15.0999945046234,0.000115469319408905,0.000132694416070155,MIG
5,974,61,5,3.82348878913663e-05,0.000138338279332831,MIG
5,974,62,5.06072340161045,3.86992383819579e-05,2.50745887860566e-05,MIG
5,974,63,12.6380675380389,9.66430190960867e-05,0.000146289868125967,MIG
5,974,64,19.4746723205106,0.000148922382579164,0.0002149915592714,MIG
5,974,65,7.50228213789128,5.73697832943346e-05,0.000227169470567101,MIG
5,974,66,12.5469547958835,9.5946281999729e-05,0.000200384002562218,MIG
5,974,67,15.0166150363336,0.000114831718484404,0.000101275456437348,MIG
5,974,68,15.2102893851149,0.000116312741887021,0.000148797214835775,MIG
5,974,69,59.1203460030376,0.000452091960304985,0.000258433407315354,MIG
5,974,70,2.53749361765,1.94041567991811e-05,8.40529349094845e-05,MIG
5,974,71,4.99957801651085,3.82316609930864e-05,7.00988322465619e-05,MIG
5,974,72,10.0025281194319,7.64891082553432e-05,0.000131223525308543,MIG
5,974,73,7.56000455891672,5.78111853536798e-05,0.000129294256393386,MIG
5,974,74,10.0297772854796,7.66974820171366e-05,9.06467201068176e-05,MIG
5,974,75,136.643619911499,0.00104491069767732,0.000558776894675661,MIG
5,974,76,22.7938340404,0.000174303937829821,0.000131177469672996,MIG
5,974,77,47.577531292762,0.000363824315025345,0.000223364520152688,MIG
5,974,78,50.6729047243565,0.000387494566253131,0.000290701064899797,MIG
5,974,79,7.5287568231064,5.75722346185665e-05,0.000155210464299795,MIG
5,974,80,7.47329879049333,5.71481482866392e-05,9.82679698907289e-05,MIG
5,974,81,48.51939527074,0.000371026727746726,0.000961757593696646,MIG
5,974,82,12.5377580839757,9.58759549499768e-05,0.000366067744791897,MIG
5,974,83,61.7982321522905,0.000472569695645491,0.00040881355126134,MIG
5,974,84,23.0514453217671,0.000176273885522345,0.000308713656513931,MIG
5,974,85,20.059373170496,0.000153393576868999,0.000240157775077774,MIG
5,974,86,12.5189897626546,9.5732434017652e-05,0.000206364805261651,MIG
5,974,87,5.05277480436431,3.86384556370379e-05,0.000102920159815158,MIG
5,974,88,4.97249665449664,3.80245704249746e-05,9.89778069297041e-05,MIG
5,974,89,5.00579876503622,3.82792309175799e-05,0.000109858080932449,MIG
5,974,91,45.3465998415013,0.00034676443223889,0.00025910348299818,MIG
5,974,92,22.6792826620606,0.000173427966008099,0.000117217919084987,MIG
5,974,93,40.3756147627637,0.000308751420799853,0.000156162659408908,MIG
5,974,94,42.7434759728258,0.000326858402381661,0.000212821002608902,MIG
5,974,95,35.2500963194078,0.000269556696186484,0.000194168918753095,MIG
5,974,972,15.0986490103921,0.000115459030444686,0.000250100559525037,MIG
5,974,973,5.06157266791184,3.87057327023226e-05,0.000189381105858987,MIG
5,974,974,129093.530138001,0.987175330465434,0.983681841601356,ISO
6,01,01,75890.8698244745,0.966511443629679,0.974572276991137,ISO
6,01,02,9.33649889830965,0.000118905384132809,0.000121807563838649,MIG
6,01,03,8.23592776669606,0.000104889013050316,0.000207971830579624,MIG
6,01,05,9.09766757205205,0.000115863737483362,0.000709877898650291,MIG
6,01,06,13.12488854978,0.000167152583822877,0.000156824012603611,MIG
6,01,07,15.3265650701464,0.000195192130042687,0.000420603018763887,MIG
6,01,11,23.8789005285916,0.000304110766888794,0.000700090236426754,MIG
6,01,13,20.1493369636536,0.000256612749359228,0.000122713409774122,MIG
6,01,21,12.0421459060608,0.00015336326821639,0.000202304337489047,MIG
6,01,22,3.93343969998014,5.00944908346809e-05,5.75158242411795e-05,MIG
6,01,23,3.96971608832808,5.05564903420383e-05,0.000330833681135616,MIG
6,01,25,47.3389710329557,0.000602887505952003,0.000633804527922281,MIG
6,01,26,16.7339114475385,0.000213115450490142,0.000294679828384231,MIG
6,01,27,6.26830813904962,7.98303084758518e-05,7.5579037829022e-05,MIG
6,01,28,3.3046764018531,4.20868487509932e-05,6.19341143245569e-05,MIG
6,01,29,8.97522783182743,0.000114304400894444,9.02500895425728e-05,MIG
6,01,2A,4.93178044121247,6.28089023742308e-05,0.000353351327461583,MIG
6,01,30,29.3981996202814,0.000374402038358879,0.000430409932827242,MIG
6,01,31,10.7483653765699,0.000136886270519693,0.000104079145752945,MIG
6,01,32,4.01088381594672,5.10807837114999e-05,0.000214795322175584,MIG
6,01,33,18.2868181665112,0.000232892560941609,0.00012393145396904,MIG
6,01,34,16.6923519043026,0.000212586167136,0.000189290490883922,MIG
6,01,35,6.86549356262733,8.74357891771753e-05,6.14980493135186e-05,MIG
6,01,36,5.03129890453834,6.40763240532728e-05,0.000176185589308525,MIG
6,01,37,14.7287624643349,0.000187578789190423,0.000228373483501802,MIG
6,01,38,283.286811687253,0.00360781140021664,0.00224073088120671,MIG
6,01,39,117.437087579937,0.00149562509054212,0.00317101338845564,MIG
6,01,42,52.1448241723765,0.00066409265574666,0.000583632551585399,MIG
6,01,43,4.90247644939976,6.24357001234657e-05,0.000173982443466249,MIG
6,01,44,14.1462479231981,0.000180160150144757,0.000101252931326074,MIG
6,01,45,15.8801313314182,0.000202242097022429,0.000196686921766874,MIG
6,01,48,4.44279263259365,5.65813770616527e-05,0.00062842573998553,MIG
6,01,49,9.92194987971891,0.000126361420340129,9.24527741813439e-05,MIG
6,01,50,5.18019497886917,6.59725964254979e-05,8.32017477055523e-05,MIG
6,01,51,22.1189307759232,0.000281696596247051,0.000312524379732299,MIG
6,01,53,5.10365838281473,6.4997861307635e-05,0.000116273824978685,MIG
6,01,54,4.13619167717528,5.26766473790831e-05,5.20717501155203e-05,MIG
6,01,55,4,5.0942172404406e-05,0.000150819045888942,MIG
6,01,56,4.07661582776422,5.19179165811238e-05,4.72379596129943e-05,MIG
6,01,57,10.4614423299726,0.000133232149693054,7.75500715368158e-05,MIG
6,01,58,9.28453724268917,0.00011824362422805,0.000387098586443652,MIG
6,01,59,25.4383043093111,0.000323970620950167,8.50050865674441e-05,MIG
6,01,60,4.01933942952187,5.11884705426325e-05,3.96476561125324e-05,MIG
6,01,61,4.917139119058,6.26224371848755e-05,0.000124953507068112,MIG
6,01,62,22.6436433437181,0.000288379095769891,0.000118356062266574,MIG
6,01,63,8.54149807480855,0.0001087806168797,0.000121495008770735,MIG
6,01,64,7.95660765310237,0.000101331719704639,0.000123069146937261,MIG
6,01,65,4.90092458594346,6.2415936299531e-05,0.00022470134056118,MIG
6,01,66,18.8668384888929,0.000240279434756817,0.00045815208542721,MIG
6,01,67,11.5701270942916,0.000147351852294572,8.13132465749591e-05,MIG
6,01,68,17.1974323215025,0.000219018640558771,0.000164293840266496,MIG
6,01,69,933.398086263001,0.0118873315580881,0.00607592635993254,MIG
6,01,71,248.473117757817,0.00316444010066975,0.0034746417385417,MIG
6,01,73,108.887254765035,0.00138673832622072,0.00235082991091024,MIG
6,01,74,207.801942237325,0.00264647059185606,0.00228354238230832,MIG
6,01,75,16.8682356544456,0.00021482614221673,0.000183898486511461,MIG
6,01,76,18.8266335166946,0.000239767402600507,0.000122988284295894,MIG
6,01,77,2.54386945853155,3.23975591327043e-05,1.93332951610267e-05,MIG
6,01,78,5.86296828305863,7.46680852692843e-05,6.54400245460665e-05,MIG
6,01,80,4.10440933183535,5.22718819501523e-05,5.47197496738068e-05,MIG
6,01,81,4.92192003153098,6.26833247017377e-05,0.000132223089672255,MIG
6,01,83,9.29250139222571,0.000118345051997736,0.000112446599406518,MIG
6,01,84,3.0098499038059,3.83320731777663e-05,5.06383586474008e-05,MIG
6,01,85,2.88628859061821,3.67584527480357e-05,3.0933098061279e-05,MIG
6,01,91,5.07364563719543,6.4615632692218e-05,4.91003971520293e-05,MIG
6,01,92,3.94054579539522,5.01849908191201e-05,5.14035846887793e-05,MIG
6,01,93,10.7007831685165,0.000136280285258184,6.2734313770899e-05,MIG
6,01,94,1.11693194794321,1.4224734964028e-05,1.10961296457234e-05,MIG
6,01,95,27.4492557225378,0.000349581179347537,0.000252719486268127,MIG
6,01,972,3.49213194452291,4.44741968942049e-05,9.36935068141264e-05,MIG
6,01,973,1.06640130870628,1.35811998300999e-05,6.23338211231781e-05,MIG
6,01,974,4.83234714003945,6.1542565281457e-05,5.22693813593684e-05,MIG
6,02,01,8.95405487253722,0.00011660998416788,0.000114985816681442,MIG
6,02,02,75099.6007846253,0.978033235575623,0.979778342659742,ISO
