"id","type_mob","value"
364,"immob",1
365,"immob",1
366,"immob",1
367,"immob",1
368,"immob",1
369,"immob",1
370,"immob",1
371,"immob",1
372,"immob",1
373,"immob",1
374,"immob",1
375,"immob",1
376,"immob",1
377,"immob",1
378,"immob",1
379,"immob",1
380,"immob",1
381,"immob",1
382,"immob",1
383,"immob",1
384,"immob",1
385,"immob",1
386,"immob",1
387,"immob",1
388,"immob",1
389,"immob",1
390,"immob",1
391,"immob",1
392,"immob",1
393,"immob",1
394,"immob",1
395,"immob",1
396,"immob",1
397,"immob",1
398,"immob",1
399,"immob",1
400,"immob",1
401,"immob",1
402,"immob",1
403,"immob",1
404,"immob",1
405,"immob",1
406,"immob",1
407,"immob",1
408,"immob",1
409,"immob",1
410,"immob",1
411,"immob",1
412,"immob",1
413,"immob",1
414,"immob",1
415,"immob",1
416,"immob",1
417,"immob",1
418,"immob",1
419,"immob",1
420,"immob",1
421,"immob",1
422,"immob",1
423,"immob",1
424,"immob",1
425,"immob",1
426,"immob",1
427,"immob",1
428,"immob",1
429,"immob",1
430,"immob",1
431,"immob",1
432,"immob",1
433,"immob",1
434,"immob",1
435,"immob",1
436,"immob",1
437,"immob",1
438,"immob",1
439,"immob",1
440,"immob",1
441,"immob",1
442,"immob",1
443,"immob",1
444,"immob",1
445,"immob",1
446,"immob",1
447,"immob",1
448,"immob",1
449,"immob",1
450,"immob",1
451,"immob",1
452,"immob",1
453,"immob",1
454,"immob",1
455,"immob",1
456,"immob",1
457,"immob",1
458,"immob",1
459,"immob",1
460,"immob",1
461,"immob",1
462,"immob",1
463,"immob",1
464,"immob",1
465,"immob",1
466,"immob",1
467,"immob",1
468,"immob",1
469,"immob",1
470,"immob",1
471,"immob",1
472,"immob",1
473,"immob",1
474,"immob",1
475,"immob",1
476,"immob",1
477,"immob",1
478,"immob",1
479,"immob",1
480,"immob",1
481,"immob",1
482,"immob",1
483,"immob",1
484,"immob",1
485,"immob",1
486,"immob",1
487,"immob",1
488,"immob",1
489,"immob",1
490,"immob",1
491,"immob",1
492,"immob",1
493,"immob",1
494,"immob",1
495,"immob",1
